session_name,session_id,session_time,metric,source_file,Time,HoloCapturerDecoder_color,HoloCapturerDecoder_geo,HoloCapturerPreparer,MediaReaderDual
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:22:50,12.2214827953543,11.9119448074808,12.2730910025152,12.277798561615
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:22:55,15.3835511329886,15.2033483474317,13.9198515825653,15.8878279626269
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:00,15.841149703122,15.8531082693974,14.9444194623566,15.7104339226759
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:05,15.3724928579894,15.3763159894441,15.1796880887485,15.3162100739753
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:10,10.2155063213553,10.0089355964077,13.3828976382308,10.1607282048751
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:15,19.7129226783278,15.3719424958441,19.3819474652811,16.9259582419684
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:20,12.9123977741609,12.7017018033192,15.9433548545373,14.217836373785
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:25,15.6039696888988,15.4577214893437,11.850703920418,14.7935070508567
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:30,13.2287633884272,13.4551278214718,13.1860629175434,14.9997689551717
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:35,16.1082041768573,15.1859769651508,13.9506509672684,14.9299249044684
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:40,17.0222112134449,17.5319606425016,13.1962416739678,13.7827446632843
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:45,14.8895833169962,13.8484036030183,13.8428878058765,13.1076099336459
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:50,9.49972783279759,11.4348823472413,10.4609581350961,11.1114503592573
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:23:55,10.9548054025714,10.7043714852865,9.53171994357984,10.1325731394461
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:00,8.01757112021834,7.92428582621625,9.43585299544928,8.40070990940328
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:05,8.75355972016426,8.67383103806264,11.868238249281,8.97790136830305
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:10,9.49018525041402,9.97191857868649,8.82525379713899,8.50457210521138
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:15,8.4238755426896,8.43480528127967,8.34758232901279,8.48166548999265
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:20,8.77966722719964,8.77302645286801,7.80111829030692,8.60209832896116
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:25,11.7789890613927,12.2396318201248,10.473967999933,9.82339592364621
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:30,10.7310372815746,10.7414888836332,9.7202804611962,9.57852158297138
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:35,14.4149847444725,13.8722394491215,14.4821406241823,13.7377004078632
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:40,11.6871319709968,11.9995077321948,12.3313387310727,10.1982663503473
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:45,13.0525046668747,13.1897609937146,10.2067136554601,10.2872045447498
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:50,13.1758998737017,13.1714834456406,12.2209144837888,12.7065548229195
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:24:55,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
